AnnonceID,ClickX,ClickY,ClickTarget,Trust_Annonce,Trust_Vendeur,Contact,Commentaire
4,262,595,"UNIVACK
Paris 12
5.0 (59758)
39750 annonces
Pro
15 Pro Max
690€ -10%
Catégorie : iPhone 15
État : Bon
Likes : ❤️ 18
Transaction sécurisée incluse, A la une
iPhone 11 entièrement fonctionnel, en bon état. Légère rayure
Téléphone prêt à l’emploi, réinitialisé.
Câble de chargement inclus.
Expédition seulement.
Evaluate this listing",4,3,5,""
8,629,492,"IMG",3,2,4,""
7,473,706,"Evaluate this listing",1,1,1,""
2,556,781,"Evaluate this listing",2,1,1,""
3,187,524,"PHONESTART
Troyes
5.0 (52)
22 annonces
Pro
iPhone 15+
550€
Catégorie : iPhone 15
État : Très bon
Likes : ❤️ 9
Transaction sécurisée incluse, ""Livraison dès 2,99e""
Vente iPhone 15 PLUS en très bon état général, toutes les fonctionnalités sont fonctionnelles. Vente avec câble de chargement. Disponible en boutique ou par livraison.
Evaluate this listing",1,1,1,""

PhaseC,Best_Listing,Exemple 1 : 15 Pro Max
PhaseC,Overall_Trust,4
PhaseC,Trust_Factor,Price
PhaseC,Trust_Factor_Other,""
PhaseC,Contact_Likelihood,
PhaseC,Contact_Factors,"Photos|Price"
PhaseC,Contact_Factors_Other,""
PhaseC,Photos_vs_Desc,
PhaseC,Photos_vs_Desc_Other,""
PhaseC,Visual_Appeal,
PhaseC,Final_Comment,""
