AnnonceID,ClickX,ClickY,ClickTarget,Trust_Annonce,Trust_Vendeur,Contact,Commentaire
5,584,511,"Evaluate this listing",3,3,3,""
8,616,134,"IMG",4,4,4,""
1,587,559,"E.Leclerc
Le Bosc
4.5 (15)
13 annonces
Pro
Top Vendeur
iPhone 12
380€ -27%
Catégorie : iPhone 12
État : Bon
Likes : ❤️ 15
Transaction sécurisée incluse
iPhone 12 en bon état de fonctionnement, réinitialisé et prêt à l'emploi.
Vente du téléphone avec le câble de chargement.
Expédition seulement
Evaluate this listing",2,2,2,""
4,450,506,"Evaluate this listing",3,3,3,""
6,413,529,"Evaluate this listing",3,3,3,""

PhaseC,Best_Listing,Exemple 2 : Huawei P30
PhaseC,Overall_Trust,4
PhaseC,Trust_Factor,Price
PhaseC,Trust_Factor_Other,""
PhaseC,Contact_Likelihood,
PhaseC,Contact_Factors,"Photos|Price|Seller"
PhaseC,Contact_Factors_Other,""
PhaseC,Photos_vs_Desc,More photos
PhaseC,Photos_vs_Desc_Other,""
PhaseC,Visual_Appeal,4
PhaseC,Final_Comment,""
